Rank,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year,Country Code,Total Revenue 2022 (€),Population 2022,GDP 2022 (€)
1,Raylyst Solar,Czech Republic,Wholesale,78890.5,824.4,111274906.0,134204.0,14,1,2018,CZE,491614260.0,10672118,272172848884.7023
2,Adagio.io,France,Advertising & Marketing,31700.5,582.6,42153471.0,132556.0,18,11,2016,FRA,3336947062.0,67971311,2603175697935.03
3,Bidberry,Italy,Advertising & Marketing,14319.7,424.4,14498769.0,100548.0,6,3,2018,ITA,6072359015.0,58940425,1919988802837.6548
4,Solar Direktinvest,Germany,Energy & Utilities,11335.4,385.4,28290148.0,247390.0,35,2,2016,DEU,3735278366.0,83797985,3824049172030.187
5,Vakanta,Sweden,IT & Software,9564.8,358.9,13086811.0,144436.0,3,3,2013,SWE,608209082.0,10486941,554262386048.8254
6,Pader Solartechnik,Germany,Energy & Utilities,8124.2,334.9,9385589.0,114122.0,42,7,2019,DEU,3735278366.0,83797985,3824049172030.187
7,The Sense Experience Resort,Italy,Hospitality & Travel,7775.7,328.6,8147588.0,103452.0,43,5,2017,ITA,6072359015.0,58940425,1919988802837.6548
8,Modern Milkman,UK,Ecommerce,7432.4,322.3,51320694.0,714058.0,160,7,2018,GBR,5744139508.0,66971395,2893534419072.2114
9,Fairlo,Sweden,Fintech Financial Services & Insurance,7406.7,321.8,11971243.0,170108.0,56,4,2018,SWE,608209082.0,10486941,554262386048.8254
10,Ad Specialist,Germany,Advertising & Marketing,7237.5,318.6,13499389.0,183979.0,4,1,2019,DEU,3735278366.0,83797985,3824049172030.187
11,Taxually,Hungary,Fintech Financial Services & Insurance,7234.9,318.6,10613846.0,175081.0,120,10,2018,HUN,240441941.0,9643048,166111976935.68777
12,WECO,Italy,Electrical Manufacturing,6903.3,312.2,218989389.0,3126942.0,17,3,2015,ITA,6072359015.0,58940425,1919988802837.6548
13,instagrid,Germany,Energy & Utilities,6593.2,306.0,14841997.0,221747.0,100,14,2018,DEU,3735278366.0,83797985,3824049172030.187
14,TapNation,France,Leisure & Entertainment,6491.4,303.9,44324280.0,672460.0,33,4,2019,FRA,3336947062.0,67971311,2603175697935.03
15,Oceania,Italy,Construction & Engineering,6209.5,298.1,18373177.0,291200.0,2,1,2004,ITA,6072359015.0,58940425,1919988802837.6548
16,Join Talent,UK,Professional Scientific & Technical Services,6148.5,296.8,19424721.0,325804.0,226,5,2018,GBR,5744139508.0,66971395,2893534419072.2114
17,Deutscher Bauservice,Germany,Construction & Engineering,5534.7,283.4,7516126.0,133389.0,95,5,2019,DEU,3735278366.0,83797985,3824049172030.187
18,Continest,Hungary,Manufacturing,5510.7,282.8,9118544.0,196638.0,90,7,2019,HUN,240441941.0,9643048,166111976935.68777
19,Skinport,Germany,IT & Software,5510.0,282.8,9503258.0,169398.0,11,1,2018,DEU,3735278366.0,83797985,3824049172030.187
20,Business Innovation Lab,Italy,Fintech Financial Services & Insurance,5111.7,273.5,38710920.0,742774.0,67,13,2012,ITA,6072359015.0,58940425,1919988802837.6548
21,Controlant,Iceland,IT & Software,4790.1,265.7,124359081.0,2431036.0,428,53,2007,ISL,124359081.0,382003,26288045111.72189
22,Energia Locale,Italy,Energy & Utilities,3978.1,244.2,5252804.0,128805.0,6,1,2018,ITA,6072359015.0,58940425,1919988802837.6548
23,Silverstream Technologies,UK,Professional Scientific & Technical Services,3953.1,243.5,41453489.0,1022761.0,93,14,2010,GBR,5744139508.0,66971395,2893534419072.2114
24,Surfer SEO,Poland,IT & Software,3857.2,240.8,12238393.0,341735.0,59,9,2018,POL,1863345656.0,36821749,644566697354.571
25,Plug-in Festivals,Germany,Ecommerce,3662.0,235.1,6442913.0,171264.0,4,2,2018,DEU,3735278366.0,83797985,3824049172030.187
26,Bit Mobility,Italy,IT & Software,3620.9,233.8,7009714.0,188386.0,106,15,2019,ITA,6072359015.0,58940425,1919988802837.6548
27,Fair Collection,Norway,Fintech Financial Services & Insurance,3596.6,233.1,3487645.0,100504.0,14,5,2018,NOR,520823790.0,5457127,555789991006.327
28,Groupe Courtin,France,Real Estate,3489.0,229.9,47488703.0,1323172.0,60,10,2017,FRA,3336947062.0,67971311,2603175697935.03
29,Index.dev,UK,IT & Software,3348.9,225.5,5848713.0,162109.0,45,9,2019,GBR,5744139508.0,66971395,2893534419072.2114
30,Iceye,Finland,Aerospace & Defence,3335.3,225.1,49434000.0,1439000.0,504,164,2014,FIN,522337495.0,5556106,264758103263.71317
31,Main Solution,Italy,Energy & Utilities,3319.4,224.6,43533381.0,1273142.0,44,5,2015,ITA,6072359015.0,58940425,1919988802837.6548
32,Devot,Croatia,IT & Software,3284.7,223.5,8934626.0,263971.0,32,8,2016,HRV,45889717.0,3855600,67067766507.33766
33,Aqualy,Italy,Food & Beverages,3271.2,223.0,3592554.0,106567.0,11,1,2019,ITA,6072359015.0,58940425,1919988802837.6548
34,OnBuy.com,UK,Ecommerce,3262.8,222.8,13266416.0,413460.0,114,23,2014,GBR,5744139508.0,66971395,2893534419072.2114
35,Nativery,Italy,Advertising & Marketing,3252.5,222.4,4175090.0,124538.0,9,1,2018,ITA,6072359015.0,58940425,1919988802837.6548
36,nanosun,Czech Republic,Wholesale,3198.3,220.7,192934151.0,5572621.0,50,10,2013,CZE,491614260.0,10672118,272172848884.7023
37,The Longevity Suite,Italy,Health Care & Life Sciences,3139.4,218.8,9362000.0,289000.0,51,2,2019,ITA,6072359015.0,58940425,1919988802837.6548
38,Movo Partnership,UK,Fintech Financial Services & Insurance,3125.7,218.3,13100175.0,425627.0,30,6,2018,GBR,5744139508.0,66971395,2893534419072.2114
39,Pace,Italy,Automotive,3112.1,217.9,3726000.0,116000.0,2,3,2019,ITA,6072359015.0,58940425,1919988802837.6548
40,Chāmpo,UK,Pharmaceuticals & Cosmetics,3067.6,216.4,9917321.0,328131.0,9,2,2016,GBR,5744139508.0,66971395,2893534419072.2114
41,Woltair,Czech Republic,Energy & Utilities,2991.9,213.9,18048984.0,556129.0,160,25,2018,CZE,491614260.0,10672118,272172848884.7023
42,The Alliance,UK,Media & Telecommunications,2935.8,212.0,14656081.0,505973.0,92,6,2019,GBR,5744139508.0,66971395,2893534419072.2114
43,Valumen,France,Employment Services,2933.4,211.9,9845005.0,324554.0,15,1,2014,FRA,3336947062.0,67971311,2603175697935.03
44,Stoov,Netherlands,Ecommerce,2907.9,211.0,39043000.0,1298000.0,18,2,2014,NLD,367871630.0,17700982,945503780118.286
45,Aircash,Croatia,Fintech Financial Services & Insurance,2855.9,209.2,20014067.0,677092.0,49,21,2015,HRV,45889717.0,3855600,67067766507.33766
46,Herrles Nord,Germany,Automotive,2803.8,207.4,3598348.0,123918.0,7,4,2019,DEU,3735278366.0,83797985,3824049172030.187
47,Surfshark,Lithuania,IT & Software,2769.4,206.1,63841041.0,2224875.0,330,35,2018,LTU,264994121.0,2831639,66481805204.9781
48,Salabam,Italy,Hospitality & Travel,2761.5,205.9,11502374.0,401976.0,18,9,2015,ITA,6072359015.0,58940425,1919988802837.6548
49,Eva Consulting,Italy,Management Consulting,2742.8,205.2,3630200.0,127700.0,19,4,2017,ITA,6072359015.0,58940425,1919988802837.6548
50,noo.ma,Poland,Ecommerce,2728.2,204.7,6940948.0,271187.0,30,2,2017,POL,1863345656.0,36821749,644566697354.571
51,C2R Energy Consulting,Italy,Management Consulting,2694.3,203.5,3136574.0,112251.0,38,1,2015,ITA,6072359015.0,58940425,1919988802837.6548
52,YSO Corp,France,Leisure & Entertainment,2609.5,200.4,35456651.0,1308610.0,36,10,2013,FRA,3336947062.0,67971311,2603175697935.03
53,IoT Venture,Germany,IT & Software,2598.4,199.9,10500000.0,389117.0,55,7,2016,DEU,3735278366.0,83797985,3824049172030.187
54,Modifi,Netherlands,Fintech Financial Services & Insurance,2587.2,199.5,11340000.0,422000.0,82,20,2018,NLD,367871630.0,17700982,945503780118.286
55,Lyma,UK,Ecommerce,2586.5,199.5,26236367.0,1023501.0,26,9,2017,GBR,5744139508.0,66971395,2893534419072.2114
56,Freemarket,UK,Fintech Financial Services & Insurance,2579.1,199.2,20811897.0,814135.0,60,33,2010,GBR,5744139508.0,66971395,2893534419072.2114
57,Regit,Germany,IT & Software,2558.2,198.4,11937401.0,449082.0,15,3,2013,DEU,3735278366.0,83797985,3824049172030.187
58,BeInfluence Europe,Belgium,Advertising & Marketing,2544.2,197.9,2776400.0,105000.0,22,3,2017,BEL,270972276.0,11685814,546504122379.75134
59,Extra Mile Live Service,Germany,Ecommerce,2537.0,197.6,5964881.0,226200.0,5,4,2017,DEU,3735278366.0,83797985,3824049172030.187
60,Conal Service (Formaggi Terre Sarde),Italy,Food & Beverages,2515.5,196.8,6401960.0,244769.0,2,2,2005,ITA,6072359015.0,58940425,1919988802837.6548
61,Mia Burton,Italy,Apparel & Fashion,2501.8,196.3,3888676.0,149461.0,30,4,2019,ITA,6072359015.0,58940425,1919988802837.6548
62,Arbolus,UK,Professional Scientific & Technical Services,2463.3,194.8,8079110.0,330324.0,156,5,2017,GBR,5744139508.0,66971395,2893534419072.2114
63,Italsoft Group,Italy,Construction & Engineering,2422.9,193.3,39944944.0,1583270.0,22,12,2008,ITA,6072359015.0,58940425,1919988802837.6548
64,Gentle North,Germany,Ecommerce,2408.2,192.7,6584102.0,262500.0,14,2,2017,DEU,3735278366.0,83797985,3824049172030.187
65,United Shipping Hungaria,Hungary,Logistics & Transportation,2374.8,191.4,33321423.0,1629121.0,45,3,2008,HUN,240441941.0,9643048,166111976935.68777
66,Rizzi Costruzioni,Italy,Construction & Engineering,2256.9,186.7,11217809.0,475956.0,3,3,1975,ITA,6072359015.0,58940425,1919988802837.6548
67,Loft Film,Germany,Advertising & Marketing,2244.5,186.2,6601307.0,281569.0,30,2,2019,DEU,3735278366.0,83797985,3824049172030.187
68,Mawave,Germany,Advertising & Marketing,2236.5,185.9,4600299.0,196891.0,56,3,2018,DEU,3735278366.0,83797985,3824049172030.187
69,Mission Mittelstand,Germany,Management Consulting,2224.9,185.4,27322599.0,1175230.0,114,6,2014,DEU,3735278366.0,83797985,3824049172030.187
70,Wakame Italia,Italy,Food & Beverages,2223.9,185.4,14975227.0,644402.0,130,21,2019,ITA,6072359015.0,58940425,1919988802837.6548
71,Love2Dogs,Czech Republic,Ecommerce,2181.3,183.6,2512025.0,104901.0,15,2,2017,CZE,491614260.0,10672118,272172848884.7023
72,Baroni,Italy,Ecommerce,2155.9,182.6,5442619.0,241257.0,1,1,2016,ITA,6072359015.0,58940425,1919988802837.6548
73,OnlyFans,UK,Media & Telecommunications,2143.3,182.0,1015474926.0,43271534.0,1337,11,2016,GBR,5744139508.0,66971395,2893534419072.2114
74,VST Fire Solutions,Netherlands,Construction & Engineering,2083.5,179.5,12550990.0,574799.0,34,7,2019,NLD,367871630.0,17700982,945503780118.286
75,Jeton Wallet,UK,Fintech Financial Services & Insurance,2074.2,179.1,28338722.0,1366039.0,25,5,2018,GBR,5744139508.0,66971395,2893534419072.2114
76,McGill and Partners,UK,Fintech Financial Services & Insurance,2047.7,178.0,140703188.0,6262575.0,433,91,2019,GBR,5744139508.0,66971395,2893534419072.2114
77,Just Join IT,Poland,Employment Services,2034.6,177.4,14577159.0,754596.0,220,47,2019,POL,1863345656.0,36821749,644566697354.571
78,X-Win,Italy,Energy & Utilities,2030.0,177.2,36324664.0,1705363.0,10,6,2013,ITA,6072359015.0,58940425,1919988802837.6548
79,Luxor Building,Italy,Construction & Engineering,2025.9,177.0,21154563.0,995095.0,41,6,2009,ITA,6072359015.0,58940425,1919988802837.6548
